ft_epoch,train_loss,val_loss,val_f1,lr
1,0.0070861872731695945,0.0451074365863254,0.9881164587046941,5e-05
2,0.006242576642950459,0.020015074010264772,0.994058229352347,5e-05
3,0.003411277899556745,0.023032933696867985,0.994058229352347,5e-05
4,0.005191879616302623,0.04531944746198254,0.9872994652406417,5e-05
5,0.007186671470192558,0.05869725084335187,0.9813576945929888,5e-05
6,0.008869910227703854,0.05294087513470913,0.994058229352347,5e-05
7,0.0022335242403704767,0.06199839657116021,0.9821746880570409,5e-05
