epoch,train_loss,val_loss,val_f1,lr
1,3.0504065957562676,2.144505500793457,0.15674932390688995,0.0005
2,2.0929338253777603,1.5605965654055278,0.2803831894439105,0.0005
3,1.6282437053220025,1.1181998277703922,0.5005087233028409,0.0005
4,1.1914115507027199,0.8967785214384397,0.604244899407438,0.0005
5,0.9348314574052548,0.7820603052775065,0.6544604904899023,0.0005
6,0.7707382610131954,0.5475148142625889,0.7549221587716397,0.0005
7,0.5893331753282711,0.36354460194706917,0.8156805612687966,0.0005
8,0.48063454777002335,0.40531201008707285,0.7953317107728873,0.0005
9,0.49035334792630425,0.2829352766275406,0.8947129667717902,0.0005
10,0.41642445390080585,0.30249487205098075,0.8852412293588765,0.0005
11,0.3400095380071936,0.2724080422000649,0.863556786350904,0.0005
12,0.32456853921557294,0.24618540906036893,0.8631154792919499,0.0005
13,0.3139711971683749,0.1881319753204783,0.9420848759084054,0.0005
14,0.2642241245906415,0.19029185020675263,0.9169457992987404,0.0005
15,0.24070139299949694,0.14378300619622073,0.9361259655377303,0.0005
16,0.2153415820754037,0.16899225177864233,0.8990853917324505,0.0005
17,0.20282342403741746,0.1963706697182109,0.8911616161616162,0.0005
18,0.18880724044645142,0.10915263685334746,0.9639780154486037,0.0005
19,0.14741229509999013,0.08537660456689385,0.970291146761735,0.0005
20,0.1384111731152596,0.09501806149395027,0.93048128342246,0.0005
21,0.10365378353263027,0.43367666626969975,0.9129244938068468,0.0005
22,0.2009178177806838,0.27243569438966614,0.8967044393514982,0.0005
23,0.1080375082533935,0.09158443800455036,0.9513368983957219,0.0005
24,0.06371972106140235,0.2118661143419255,0.920789994319406,0.0005
25,0.09742749111469963,0.13425022852122007,0.9461229946524066,0.00025
26,0.06611257680924609,0.06033410353848012,0.9691027926322043,0.00025
27,0.03281040434075262,0.0373955029414598,0.9881164587046941,0.00025
28,0.024294026346540015,0.06574818780063652,0.9754901960784315,0.00025
29,0.0367307675187476,0.028723485455581493,0.9818033273915628,0.00025
30,0.01984294560027373,0.047288006330139375,0.9813576945929888,0.00025
31,0.019338916664027834,0.06530996547614147,0.9881164587046941,0.00025
32,0.01320332128871714,0.07018943094044516,0.9813576945929888,0.00025
33,0.023125627392738383,0.05885120926359377,0.9881164587046941,0.00025
34,0.014526702682909171,0.0807337337082572,0.9738774297597826,0.00025
35,0.013329607461165668,0.00789008322620551,1.0,0.00025
36,0.01958591812857274,0.021896341332346008,0.9881164587046941,0.00025
37,0.01992945924274832,0.027870708700144558,0.9813576945929888,0.00025
38,0.03179886301072186,0.0448075772719676,0.9691027926322043,0.00025
39,0.049781840822482805,0.08331879434081202,0.9633838383838383,0.00025
40,0.016231463522076252,0.04884336395874319,0.9754159239453356,0.00025
41,0.03763951039531846,0.08986597455289787,0.9624109550580139,0.000125
42,0.010778815103674726,0.013260893734695856,0.994058229352347,0.000125
43,0.010177631993428804,0.03963228226166393,0.9877450980392157,0.000125
44,0.01164599149668557,0.03143375795571046,0.994058229352347,0.000125
45,0.004849246314200894,0.02978597704926263,0.994058229352347,0.000125
